PFid	pfam_name	Aaoar1	Aciri1_meta	Altal1	Altbr1	Amnli1	Aplpr1	Aspnid1	Aulhe2	Aurpu_var_mel1	Aurpu_var_nam1	Aurpu_var_pul1	Aurpu_var_sub1	Bauco1	Bimnz1	Botci1	Botdo1_1	Bysci1	Cenge3	Cerzm1	Clael1	Clafu1	Cocca1	CocheC5_3	Cocim1	Coclu2	Cocmi1	Cocsa1	Cocvi1	Corca1	Cucbe1	Decga1	Delco1	Didex1	Disac1	Dotse1	Dotsy1	Erebi1	Fusgr1	Glost2	Hyspu1_1	Karrh1	Lenfl1	Lepmu1	Leppa1	Linin1	Lizem1	Lopma1	Lopmy1	Macan1	Macph1	Maseb1	Melpu1	Micmi1	Mycfi2	Mycgr3	Myrdu1	Mytre1	Neopa1	Neucr2	Ophdi1	Parsp1	Patat1	Photr1	Phycit1	Pieho1_1	Plesi1	Polci1	Polfu1	Psehy1	Pyrco1	Pyrsp1	Pyrtr1	Pyrtt1	Rhili1	Rhyru1_1	Sacpr1	Sclsc1	Sepmu1	Seppo1	Setho1	Settu1	Spofi1	Stano2	Stasp1	Ternu1	Totfu1	Trepe1	Tribi1	Tryvi1	Tubme1	Venin1	Venpi1	Veren1	Wesor1	Zasce1	Zoprh1	Zymar1	Zymps1
PF02752.17	Arrestin_C	5	3	4	4	5	5	5	5	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4	4	5	4	4	4	5	4	4	4	4	5	4	5	3	4	3	5	4	5	5	5	5	6	4	4	4	3	4	4	5	3	3	4	4	4	4	6	3	5	4	4	5	4	6	3	4	4	4	3	2	4	4	5	4	4	4	4	4	5	4	5	4	4	5	3	4	2	4	3	4	4
PF02755.10	RPEL	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02761.9	Cbl_N2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02765.12	POT1	1	2	2	2	1	1	2	1	2	2	2	1	2	0	0	0	1	1	2	2	2	2	2	2	1	2	1	2	1	2	2	2	1	2	2	2	1	0	1	1	1	0	2	1	0	2	1	2	1	2	1	2	0	1	2	2	1	0	2	2	1	1	1	1	1	1	1	1	0	1	2	2	2	1	1	2	0	2	1	1	2	0	1	1	2	1	1	2	1	2	0	1	2	2	1	2	2	2
PF02769.17	AIRS_C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
PF02770.14	Acyl-CoA_dh_M	15	17	14	14	17	8	16	13	12	10	10	10	15	13	11	17	11	13	25	12	19	14	15	15	13	13	14	15	16	13	12	15	15	12	16	13	19	11	16	17	13	15	12	21	17	14	17	20	15	14	13	17	15	16	15	13	22	14	8	15	14	10	15	12	6	15	10	16	12	9	23	12	11	20	13	14	9	13	9	16	14	16	14	19	14	17	14	14	12	10	12	18	13	13	21	15	15	16
PF02771.11	Acyl-CoA_dh_N	13	12	12	11	14	7	13	12	10	9	8	10	13	10	11	15	10	10	22	11	17	14	13	11	13	13	13	14	14	14	9	12	13	10	15	9	16	9	12	14	10	13	11	17	14	13	13	17	13	14	11	16	13	14	13	10	18	13	9	14	13	8	12	11	4	14	8	14	11	7	18	12	11	16	11	13	9	12	9	15	13	13	13	16	12	13	13	12	11	8	11	14	12	12	18	15	13	14
PF02772.11	S-AdoMet_synt_M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02773.11	S-AdoMet_synt_C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02774.13	Semialdhyde_dhC	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	2
PF02775.16	TPP_enzyme_C	9	11	4	4	7	7	6	5	5	5	5	6	6	6	4	8	7	8	8	5	10	7	7	6	6	5	6	6	10	6	5	4	6	3	8	4	5	7	6	8	7	6	4	9	9	6	8	9	4	7	5	9	3	11	6	6	13	7	6	6	6	4	4	5	5	9	8	8	5	4	10	4	4	10	8	5	4	5	4	8	4	5	5	7	5	6	8	4	9	4	5	4	5	3	17	7	6	5
PF02776.13	TPP_enzyme_N	9	10	4	4	7	7	6	5	5	5	5	6	7	6	4	9	6	8	8	5	10	7	7	6	6	5	7	6	10	6	5	4	6	3	8	4	5	7	7	10	7	7	4	8	8	6	8	9	5	6	6	9	3	11	6	5	10	7	6	6	6	4	5	5	5	8	8	8	5	4	9	4	4	10	8	5	4	5	5	9	4	5	5	7	5	6	8	4	10	4	5	3	5	3	17	7	6	5
PF02777.13	Sod_Fe_C	3	3	3	2	3	3	3	2	2	2	3	2	2	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	4	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3
PF02778.9	tRNA_int_endo_N	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	0
PF02779.19	Transket_pyr	7	5	6	5	4	5	6	5	5	6	6	6	5	6	5	6	5	4	5	5	5	5	5	4	5	5	5	5	7	5	4	4	6	4	5	5	5	5	5	6	6	6	5	5	5	5	7	5	7	5	6	5	4	5	5	6	5	6	4	6	6	4	5	5	4	6	5	5	5	4	10	5	5	6	5	5	4	5	5	5	5	4	5	8	5	4	6	4	5	4	5	4	5	4	7	7	5	5
PF02780.15	Transketolase_C	6	4	5	4	3	4	6	4	4	5	5	5	4	5	3	4	4	3	4	3	4	4	4	3	4	4	4	4	5	4	3	3	5	3	4	4	4	3	4	4	4	4	4	3	4	4	5	4	5	4	4	4	3	3	4	4	4	4	3	5	4	3	4	3	3	4	4	4	3	3	8	4	4	5	4	3	3	4	4	3	4	3	4	6	3	3	4	3	4	3	3	3	4	3	5	5	4	4
PF02781.11	G6PD_C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02782.11	FGGY_C	5	6	3	3	3	4	5	5	6	5	5	4	6	3	4	5	3	4	5	3	6	3	4	4	3	3	3	3	3	4	3	4	4	3	6	4	3	4	3	3	4	3	4	4	3	4	4	4	4	5	3	3	3	5	5	4	4	5	5	4	3	4	4	4	4	4	5	4	4	3	4	3	3	4	4	4	4	5	5	4	3	3	4	4	4	4	4	6	4	3	4	5	3	4	4	4	5	5
PF02784.11	Orn_Arg_deC_N	1	1	1	0	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	2	1	1	3	1	3	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
PF02785.14	Biotin_carb_C	6	5	5	5	4	4	6	4	5	4	5	6	5	4	3	7	5	3	6	5	5	5	6	4	5	5	5	5	6	4	4	5	5	4	5	5	6	4	5	5	5	4	4	4	5	5	5	4	5	6	5	5	4	5	4	4	3	5	4	6	5	3	5	5	2	4	5	4	4	4	6	5	5	6	5	5	4	5	5	6	5	4	5	5	5	6	5	4	5	0	5	5	5	4	5	4	4	4
PF02786.12	CPSase_L_D2	8	7	9	10	8	6	9	8	8	7	8	9	8	8	8	10	9	5	9	9	8	9	10	7	9	9	9	9	9	7	6	9	8	6	8	7	9	6	7	8	9	8	6	7	8	8	8	8	8	10	9	7	8	8	7	7	7	9	8	10	9	6	7	8	5	6	9	6	8	9	10	9	9	9	10	8	8	8	8	9	9	7	7	8	8	8	9	6	10	3	8	8	8	7	8	9	7	7
PF02787.14	CPSase_L_D3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
PF02788.11	RuBisCO_large_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02790.10	COX2_TM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PF02791.12	DDT	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02792.9	Mago_nashi	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02796.10	HTH_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02797.10	Chal_sti_synt_C	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0
PF02798.15	GST_N	16	13	15	11	14	10	12	13	13	14	14	12	12	11	12	17	16	9	14	15	14	10	11	7	10	10	10	11	18	15	8	12	12	14	18	14	7	15	9	14	14	17	6	9	14	11	16	18	11	13	13	19	11	15	14	17	14	13	5	16	17	7	12	8	2	14	10	15	14	7	17	7	5	29	19	10	12	6	4	14	8	6	10	15	13	9	14	6	15	4	11	10	10	8	32	14	16	16
PF02799.10	NMT_C	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02800.15	Gp_dh_C	2	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
PF02801.17	Ketoacyl-synt_C	22	4	14	10	25	20	37	7	6	8	8	14	5	22	24	36	31	15	15	15	14	30	26	13	18	22	21	24	34	14	14	16	10	11	9	18	6	18	24	31	18	35	17	23	43	16	22	10	8	36	18	42	9	10	14	12	21	26	11	17	23	8	18	8	4	15	9	19	21	3	12	23	26	15	38	6	19	13	12	14	31	9	21	23	11	10	22	3	40	4	8	11	37	20	24	47	9	12
PF02803.13	Thiolase_C	9	7	8	7	9	6	9	7	6	7	7	7	7	8	6	7	8	6	10	9	9	8	9	7	8	8	8	8	8	8	8	7	7	6	9	7	8	6	8	7	8	8	6	8	8	7	8	7	7	6	9	9	7	7	7	6	8	7	6	8	7	6	8	6	6	9	6	9	7	6	8	8	7	7	7	6	6	7	6	7	8	9	7	8	7	7	8	6	7	5	7	7	8	8	8	8	7	7
PF02805.11	Ada_Zn_binding	1	2	1	1	1	0	1	1	2	2	3	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	1
PF02806.13	Alpha-amylase_C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02809.15	UIM	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	0	0	3	1	0	0	0	2	1	1	0	2	2	1	1	1	1	1	2	1	2	0	1	1	2	1	0	2	2	3	0	1	2	3	1	0	2	1	2	0	2	2	2	2	2	0	1	0	0	2	1	1	1	1	1	2	0	1	1	1	1	1	2	1	1	3	2	2	2	2	1	1	0	3	2	4	3	0	1	1	1
PF02810.10	SEC-C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02811.14	PHP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
PF02812.13	ELFV_dehydrog_N	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02815.14	MIR	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3
PF02816.13	Alpha_kinase	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PF02817.12	E3_binding	3	3	3	2	3	3	3	3	3	3	3	3	2	3	2	2	3	3	3	3	2	3	4	3	3	3	3	3	3	3	3	3	3	3	1	3	2	3	3	3	2	3	2	3	3	3	3	3	3	2	3	3	3	2	3	3	3	3	3	2	2	3	3	3	2	3	2	3	3	3	6	3	3	3	3	3	2	3	3	3	3	3	2	3	2	3	3	3	2	3	3	3	3	3	3	3	3	3
PF02823.11	ATP-synt_DE_N	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02824.16	TGS	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	5	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
PF02826.14	2-Hacid_dh_C	19	12	12	10	13	10	14	10	11	11	10	9	11	9	11	21	12	9	12	14	15	12	13	11	11	11	11	12	17	12	10	11	12	9	14	8	10	16	10	13	10	14	10	12	14	10	14	13	12	14	13	14	10	14	13	10	13	18	9	12	13	12	10	11	5	13	11	11	11	8	17	10	11	20	17	10	10	11	11	12	14	10	13	15	12	9	15	9	10	7	9	10	11	10	27	15	13	13
PF02833.9	DHHA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02836.12	Glyco_hydro_2_C	8	4	6	6	6	2	11	3	2	3	4	2	4	6	3	6	6	0	3	5	5	6	9	1	7	6	5	6	9	6	3	3	7	1	4	5	3	9	3	3	6	5	4	0	6	7	5	1	6	5	7	7	5	6	7	2	0	4	5	7	6	6	5	2	1	8	3	6	5	3	10	6	5	4	5	4	4	4	4	7	5	2	11	9	5	1	6	2	1	1	2	1	7	3	7	6	5	6
PF02837.13	Glyco_hydro_2_N	11	5	8	7	6	2	9	2	2	2	3	2	4	9	2	5	9	2	4	7	4	8	10	1	7	7	8	8	12	7	3	4	7	1	3	4	2	10	3	4	6	6	7	1	7	6	5	2	6	4	9	8	2	6	7	3	2	4	6	9	8	6	8	3	2	8	3	8	8	2	12	7	6	8	7	3	2	3	3	7	7	2	10	10	4	2	7	2	2	0	1	1	7	5	7	8	5	6
PF02838.10	Glyco_hydro_20b	3	2	2	2	2	2	1	0	0	0	0	0	0	3	1	3	2	2	1	2	1	1	1	0	1	1	1	1	2	1	0	1	2	0	0	0	0	2	0	3	3	1	0	2	2	1	3	2	1	3	3	3	1	1	1	1	3	3	1	2	2	2	2	2	1	2	1	2	3	0	1	2	2	1	4	2	1	1	1	1	1	2	1	2	1	0	2	0	2	0	1	1	2	2	1	5	1	1
PF02839.9	CBM_5_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
PF02840.10	Prp18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
PF02843.11	GARS_C	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
PF02844.10	GARS_N	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
PF02845.11	CUE	5	5	5	3	5	5	6	5	5	4	5	5	5	5	5	5	5	6	4	5	5	5	5	6	5	5	5	5	4	5	5	4	5	5	5	5	5	5	6	6	5	5	4	5	5	5	5	5	5	4	5	5	5	4	5	5	5	3	7	6	5	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	6	5	5	5	5	5	5	5	4	4	5
PF02847.12	MA3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
PF02852.17	Pyr_redox_dim	2	4	2	2	6	2	2	4	2	2	2	2	2	3	3	2	2	5	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	5	3	5	3	2	3	2	5	4	2	3	4	2	3	2	4	3	2	1	3	4	2	3	3	2	3	2	2	2	2	2	7	2	2	5	2	2	6	3	2	3	2	2	4	3	2	2	4	2	5	6	2	4	2	3	4	5	2	5	5	2	2
PF02854.14	MIF4G	4	4	4	4	4	5	5	4	4	4	4	4	4	4	4	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	6	4	5	4	4	4	4	4	5	5	4	4	5	4	4	5	4	5	4	5	6	4	4	4	4	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	5	4	4
PF02861.15	Clp_N	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1
PF02862.12	DDHD	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	1	2
PF02866.13	Ldh_1_C	5	2	4	3	3	2	4	2	3	3	3	3	1	3	2	2	3	2	3	4	2	4	3	2	4	4	4	4	3	4	3	3	4	2	2	4	4	3	2	2	4	3	4	2	3	3	3	2	4	2	3	3	2	2	2	2	2	2	4	4	6	2	4	2	2	3	2	3	2	2	4	3	3	2	2	2	2	3	3	4	4	3	4	4	3	3	3	2	2	2	3	3	3	3	3	3	2	2
PF02867.10	Ribonuc_red_lgC	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PF02868.10	Peptidase_M4_C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	2	0	0	0	0
PF02872.13	5_nucleotid_C	2	1	2	2	2	1	3	1	1	1	1	0	1	2	0	1	2	1	2	2	2	2	2	1	2	2	2	3	2	2	2	1	2	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	1	1	2	1	2	3	2	2	2	2	1	1	1	0	2	2	2	2	2	2	2	0	1	2	1	1	1	1	1	2	2	2	3	2	3
